{key='AU,QR,002,1391250.d22df5e486c56116a3d0fe8fcbf4163f', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=1391250, taxCarrier='YY', taxAmount=30.00, taxAmountCurrency='AUD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PE,HW,001,229375.5a7b7321acb603072c9f3a7d936b5c05', nation='PE', taxCode='HW', percentOrFlatTag=Flat Tax, seqNo=229375, taxCarrier='YY', taxAmount=20.10, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GB,UB,001,4331228.466b258446f1fd27e029a7a550ebb1a3', nation='GB', taxCode='UB', percentOrFlatTag=Flat Tax, seqNo=4331228, taxCarrier='EK', taxAmount=4.80, taxAmountCurrency='GBP', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GB,UB,001,4331228.5fbb022ca4429b87650608303c00a8b3', nation='GB', taxCode='UB', percentOrFlatTag=Flat Tax, seqNo=4331228, taxCarrier='EK', taxAmount=4.80, taxAmountCurrency='GBP', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,002,1222500.52a9d8bdb15e8a8f02ccc3c8d67d791d', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=1222500, taxCarrier='YY', taxAmount=9.95, taxAmountCurrency='AUD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GB,UB,001,4331229.24b2fc75503229e71319c9febc4beba3', nation='GB', taxCode='UB', percentOrFlatTag=Flat Tax, seqNo=4331229, taxCarrier='EK', taxAmount=4.55, taxAmountCurrency='GBP', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GB,UB,001,4331229.53450165763124bfb72940f4a2a9b11b', nation='GB', taxCode='UB', percentOrFlatTag=Flat Tax, seqNo=4331229, taxCarrier='EK', taxAmount=4.22, taxAmountCurrency='GBP', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='US,US,012,73464.816544a92f8b16456454a09657f4d454', nation='US', taxCode='US', percentOrFlatTag=Percent Tax, seqNo=73464, taxCarrier='9X', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='JP,OI,001,54732.8a70623e45afb48359bd868c0a6c89e7', nation='JP', taxCode='OI', percentOrFlatTag=Flat Tax, seqNo=54732, taxCarrier='HA', taxAmount=100, taxAmountCurrency='JPY', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,QX,001,260000.81e51a5b2eab3ffc032f24b3a9325aa1', nation='FR', taxCode='QX', percentOrFlatTag=Flat Tax, seqNo=260000, taxCarrier='YY', taxAmount=6.24, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,002,1138750.3cff314103e9562b28b6c3ab32769ca0', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=1138750, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,UI,005,93756.61e97c963116c3a97386996cb2ffe64e', nation='FR', taxCode='UI', percentOrFlatTag=Percent Tax, seqNo=93756, taxCarrier='OU', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,002,96487.00be8d24377a3559beacadd8f8ee1c92', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=96487, taxCarrier='QF', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ST,E1,001,100000.79e314388aeb2d6c6578c106525b844a', nation='ST', taxCode='E1', percentOrFlatTag=Flat Tax, seqNo=100000, taxCarrier='YY', taxAmount=5.25, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='DE,RA,001,308750.34bb41f0234138b49e6fc2553e15dde8', nation='DE', taxCode='RA', percentOrFlatTag=Flat Tax, seqNo=308750, taxCarrier='YY', taxAmount=0.50, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='DE,RA,001,308750.a165d3817ef08e739dc16ad436088fa3', nation='DE', taxCode='RA', percentOrFlatTag=Flat Tax, seqNo=308750, taxCarrier='YY', taxAmount=0.50, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
