{key='KZ,CS,003,112812.b44285bdc3d59b04b0c0feb598de9cab', nation='KZ', taxCode='CS', percentOrFlatTag=Flat Tax, seqNo=112812, taxCarrier='YY', taxAmount=900.00, taxAmountCurrency='KZT', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='VE,AK,001,119687.34e77ed9b734b1009e4c06d4fde92bf9', nation='VE', taxCode='AK', percentOrFlatTag=Flat Tax, seqNo=119687, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='BR,BR,004,1070000.0f6cb9b97240aa09f5c0439c4618a913', nation='BR', taxCode='BR', percentOrFlatTag=Flat Tax, seqNo=1070000, taxCarrier='YY', taxAmount=36.81, taxAmountCurrency='BRL', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='DE,RD,001,180000.77684a40abb659f614e3c7a208d996fb', nation='DE', taxCode='RD', percentOrFlatTag=Flat Tax, seqNo=180000, taxCarrier='YY', taxAmount=4.40, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='RU,RI,001,588750.f51b36a2044275a9d4bbc53385d1c0aa', nation='RU', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=588750, taxCarrier='YY', taxAmount=17.11, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='HR,ZS,102,37562.ca5769a85f94208ac5b89cc7b4bf7795', nation='HR', taxCode='ZS', percentOrFlatTag=Percent Tax, seqNo=37562, taxCarrier='OU', taxAmount=null, taxAmountCurrency='null', taxPercent=25.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,FR,007,202497.7be01033bb5eb8e3933e9acd689517f9', nation='FR', taxCode='FR', percentOrFlatTag=Flat Tax, seqNo=202497, taxCarrier='YY', taxAmount=10.75, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='DE,RD,001,169687.60bfbfe4c957eb537ed48b0b51db65b3', nation='DE', taxCode='RD', percentOrFlatTag=Flat Tax, seqNo=169687, taxCarrier='YY', taxAmount=7.50, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GR,WP,001,1527421.422ba0dacdec22defeaa87ca009656c1', nation='GR', taxCode='WP', percentOrFlatTag=Flat Tax, seqNo=1527421, taxCarrier='YY', taxAmount=17.52, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CM,CM,003,12587.fae47a065e88e024eb028e7a6ad2b6d9', nation='CM', taxCode='CM', percentOrFlatTag=Percent Tax, seqNo=12587, taxCarrier='AR', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
