Key: CVG, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@9fa6c4b3, recordType=Passenger Facility Charge Record, recordKey=CVG, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jan-2013#1357016400000/01-Apr-2026#1775016000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: SUX, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@589fd006, recordType=Passenger Facility Charge Record, recordKey=SUX, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=28-May-2005#1117252800000/01-Oct-2044#2358907200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: RSW, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@2a329e43, recordType=Passenger Facility Charge Record, recordKey=RSW, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Nov-2003#1067662800000/01-Jul-2060#2855880000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: CEZ, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@3dad9182, recordType=Passenger Facility Charge Record, recordKey=CEZ, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Mar-2008#1204347600000/01-Jun-2030#1906516800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: BTM, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@579049a7, recordType=Passenger Facility Charge Record, recordKey=BTM, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Mar-2010#1267419600000/01-Mar-2036#2087960400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: UIN, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@cf13a41, recordType=Passenger Facility Charge Record, recordKey=UIN, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jan-2008#1199163600000/01-Jun-2052#2600827200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: BTR, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@5f545ce8, recordType=Passenger Facility Charge Record, recordKey=BTR, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=06-Oct-2005#1128571200000/01-Jul-2031#1940644800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: ART, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@fa287af1, recordType=Passenger Facility Charge Record, recordKey=ART, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2017#1491019200000/01-Jan-2031#1925010000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: ABE, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@3866863f, recordType=Passenger Facility Charge Record, recordKey=ABE, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=14-Aug-2021#1628913600000/01-Jun-2033#2001211200000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=UA, flights=[6380..6384])])])
Key: BTV, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@4c120376, recordType=Passenger Facility Charge Record, recordKey=BTV, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Dec-2009#1259643600000/01-Jan-2030#1893474000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: TXK, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@afd95d32, recordType=Passenger Facility Charge Record, recordKey=TXK, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Oct-2019#1569902400000/01-Sep-2025#1756699200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: PPG, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@9a917d61, recordType=Passenger Facility Charge Record, recordKey=PPG, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=02-Jun-2006#1149220800000/01-Feb-2026#1769922000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: FLL, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@f9c2276d, recordType=Passenger Facility Charge Record, recordKey=FLL, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Oct-2005#1128139200000/01-Dec-2035#2080098000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: HPN, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@120fb7e5, recordType=Passenger Facility Charge Record, recordKey=HPN, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=26-Oct-2021#1635220800000/01-Sep-2026#1788235200000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=B6, flights=[5225..5349])])])
Key: ABI, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@75523af, recordType=Passenger Facility Charge Record, recordKey=ABI, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Aug-2023#1690862400000/01-Aug-2032#1974945600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: FLO, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@d52c2743, recordType=Passenger Facility Charge Record, recordKey=FLO, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2025#1743480000000/01-Mar-2041#2245726800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: DHN, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@d24e8995, recordType=Passenger Facility Charge Record, recordKey=DHN, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Aug-2001#996638400000/01-Dec-2025#1764565200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: BDL, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@3adf0f19, recordType=Passenger Facility Charge Record, recordKey=BDL, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=05-Mar-2020#1583384400000/01-Jan-2033#1988168400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: CWA, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@8f900f64, recordType=Passenger Facility Charge Record, recordKey=CWA, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Sep-2007#1188619200000/01-Mar-2033#1993266000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: GNV, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@15e43455, recordType=Passenger Facility Charge Record, recordKey=GNV, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Mar-2016#1456808400000/01-Aug-2025#1754020800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: SFB, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@9bfa8c5d, recordType=Passenger Facility Charge Record, recordKey=SFB, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Sep-2011#1314849600000/01-Jun-2028#1843444800000), amount=4.00, frequentFlierExempt=true, exceptions=[])])
Key: ABQ, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@fca84d42, recordType=Passenger Facility Charge Record, recordKey=ABQ, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jul-2011#1309492800000/01-May-2030#1903838400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: ABR, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@168213af, recordType=Passenger Facility Charge Record, recordKey=ABR, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=12-Oct-2005#1129089600000/01-Oct-2029#1885521600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: BUF, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@f4af1a28, recordType=Passenger Facility Charge Record, recordKey=BUF, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Aug-2007#1185940800000/01-Dec-2031#1953867600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: ASE, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@585a758, recordType=Passenger Facility Charge Record, recordKey=ASE, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jan-2005#1104555600000/01-Mar-2027#1803877200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: RDD, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@f6239043, recordType=Passenger Facility Charge Record, recordKey=RDD, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Aug-2007#1185940800000/01-Dec-2029#1890795600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: ONT, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@ac4a73c, recordType=Passenger Facility Charge Record, recordKey=ONT, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2016#1459483200000/01-Oct-2028#1853985600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: ABY, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@171bf2a1, recordType=Passenger Facility Charge Record, recordKey=ABY, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Aug-2022#1659326400000/01-Mar-2030#1898571600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: RDM, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@4a7ca626, recordType=Passenger Facility Charge Record, recordKey=RDM, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Mar-2007#1172725200000/01-Jul-2040#2224728000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: LYH, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@ff051e8f, recordType=Passenger Facility Charge Record, recordKey=LYH, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jun-2002#1022904000000/01-Jun-2027#1811822400000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: SFO, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@ab9cf387, recordType=Passenger Facility Charge Record, recordKey=SFO, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Oct-2001#1001908800000/01-Dec-2030#1922331600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: BUR, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@b0bc3cb9, recordType=Passenger Facility Charge Record, recordKey=BUR, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=26-Oct-2021#1635220800000/01-Jun-2030#1906516800000), amount=4.50, frequentFlierExempt=true, exceptions=[FlightRange(carrier=B6, flights=[5225..5349])])])
Key: RDU, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@90b34489, recordType=Passenger Facility Charge Record, recordKey=RDU, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Oct-2004#1096603200000/01-Sep-2032#1977624000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: SWF, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@73c1b949, recordType=Passenger Facility Charge Record, recordKey=SWF, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Jul-2010#1277956800000/01-Aug-2026#1785556800000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: MKE, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@b955eb85, recordType=Passenger Facility Charge Record, recordKey=MKE, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=11-Sep-2019#1568174400000/01-Feb-2028#1832994000000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: DIK, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@94d898c2, recordType=Passenger Facility Charge Record, recordKey=DIK, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Apr-2014#1396324800000/01-Jan-2028#1830315600000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: ISP, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@5b3facac, recordType=Passenger Facility Charge Record, recordKey=ISP, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Sep-2005#1125547200000/01-Sep-2025#1756699200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
Key: EKO, Value: PFCRecord(super=net.atpco.pfc.domain.PFCRecord@e3efeb9c, recordType=Passenger Facility Charge Record, recordKey=EKO, details=[PassengerFacilityCharge(super=PFCDetail(effectiveDateRange=01-Mar-2023#1677646800000/01-May-2037#2124763200000), amount=4.50, frequentFlierExempt=true, exceptions=[])])
