itin_validatingcarrier,OBL_originairportcode,OBL_destinationairportcode,OBL_flightNumber,OBL_departdate,OBL_departtime,OBL_arrivedate,OBL_arrivetime,IBL_originairportcode,IBL_destinationairportcode,IBL_flightnumber,IBL_departdate,IBL_departtime,IBL_arrivedate,IBL_arrivetime,itin_cabin,itin_bookingcode,itin_totalamount,taxbreakdown,yq_val,yr_val,itin_true_tax_amount
"AC","LGA","YYZ","8995","20250527","1910","20250527","2052","YYZ","EWR","8874","20250603","835","20250603","1014","E","G","274.39","USD:AY 5.60|US 13.50|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","94.39"
"AC","EWR","YYZ","8875","20250527","900","20250527","1043","YYZ","JFK","8556","20250603","2055","20250603","2245","E","K","279.77","USD:AY 5.60|US 13.88|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","94.77"
"AC","EWR","YYZ","3097","20250527","1203","20250527","1347","YYZ","EWR","3071","20250603","2000","20250603","2148","E","G","285.14","USD:AY 5.60|US 14.25|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","95.14"
"UA","EWR","YYZ","8119","20250527","1830","20250527","2017","YYZ","JFK","6634","20250603","2055","20250603","2245","E","G","334.59","USD:AY 5.60|US 17.70|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","98.59"
"UA","EWR","YYZ","3400","20250527","1203","20250527","1347","YYZ","LGA","8146","20250603","2100","20250603","2236","E","G","334.59","USD:AY 5.60|US 17.70|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","98.59"
"UA","LGA","YYZ","8449","20250527","1420","20250527","1602","YYZ","EWR","8621","20250603","1600","20250603","1739","E","G","334.59","USD:AY 5.60|US 17.70|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","98.59"
"UA","LGA","YYZ","8233","20250527","1645","20250527","1825","YYZ","JFK","6634","20250603","2055","20250603","2245","E","G","338.89","USD:AY 5.60|US 18.00|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","98.89"
"UA","JFK","YYZ","6633","20250527","1030","20250527","1215","YYZ","EWR","8202","20250603","1730","20250603","1908","E","K","387.27","USD:AY 5.60|US 21.38|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","102.27"
"UA","EWR","YYZ","3555","20250527","956","20250527","1144","YYZ","LGA","8226","20250603","915","20250603","1051","E","K","392.64","USD:AY 5.60|US 21.75|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","102.64"
"LY","JFK","TLV","4","20250831","1030","20250901","350","TLV","JFK","7","20250907","1015","20250907","1505","B","J","6073.49","USD:AP 8.00|AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|IL 29.68","0.0","0.0","111.49"
"B6","JFK","TLV","6460","20250831","230","20250831","1950","TLV","JFK","6451","20250907","100","20250907","550","B","I","7397.49","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|IL 29.68","0.0","0.0","103.49"
"B6","JFK","TLV","6460","20250831","230","20250831","1950","TLV","EWR","6483","20250907","30","20250907","515","B","I","7397.49","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|IL 29.68","0.0","0.0","103.49"
"AC","EWR","YUL","797","20250517","1530","20250517","1700","YUL","EWR","8938","20250520","810","20250520","946","E","G","350.44","USD:AY 5.60|US 18.60|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 28.90|ZP 10.40|XG 1.45|XQ 2.88","0.0","0.0","102.44"
"UA","EWR","IAH","492","20250531","530","20250531","808","IAH","EWR","1797","20250607","600","20250607","1034","E","K","291.96","USD:AY 11.20|US 18.23|XF 9.00|ZP 10.40","0.0","0.0","48.83"
"UA","EWR","IAH","2425","20250531","2103","20250531","2355","IAH","EWR","1797","20250607","600","20250607","1034","E","K","371.97","USD:AY 11.20|US 23.82|XF 9.00|ZP 10.40","0.0","0.0","54.42"
"UA","EWR","IAH","686","20250531","750","20250531","1034","IAH","EWR","1494","20250607","1443","20250607","1929","E","K","641.96","USD:AY 11.20|US 42.65|XF 9.00|ZP 10.40","0.0","0.0","73.25"
"TS","EWR","YTZ","7129","20250509","1505","20250509","1645","YTZ","EWR","7136","20250521","1715","20250521","1845","E","W","364.59","USD:AY 5.60|US 20.25|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 21.00|ZP 10.40|RC 2.73","0.0","0.0","94.59"
"HA","EWR","SEA","4900","20250731","719","20250731","1030","SEA","EWR","6593","20250823","641","20250823","1500","E","N","866.61","USD:AY 11.20|US 58.33|XF 9.00|ZP 10.40","0.0","0.0","88.93"
"SQ","EWR","SIN","21","20250809","935","20250810","1645","SIN","EWR","22","20250823","2335","20250824","600","P","T","3453.51","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|L7 8.20|OP 6.10|SG 35.40|YR 20.00","0.0","20.0","123.50999999999999"
"AA","LGA","IND","4565","20250508","825","20250508","1039","IND","JFK","4631","20250510","547","20250510","759","E","Y","834.97","USD:AY 11.20|US 56.12|XF 9.00|ZP 10.40","0.0","0.0","86.72"
"UA","EWR","IND","3573","20250508","1620","20250508","1840","IND","EWR","3571","20250510","1852","20250510","2100","E","E","1035.97","USD:AY 11.20|US 70.14|XF 9.00|ZP 10.40","0.0","0.0","100.74"
"AA","LGA","MIA","605","20250511","1322","20250511","1633","MIA","LGA","2669","20250515","1704","20250515","2000","E","S","362.97","USD:AY 11.20|US 23.19|XF 9.00|ZP 10.40","0.0","0.0","53.79"
"DL","LGA","MIA","2382","20250511","1929","20250511","2242","MIA","JFK","1502","20250515","1110","20250515","1414","E","E","378.96","USD:AY 11.20|US 24.30|XF 9.00|ZP 10.40","0.0","0.0","54.9"
"DL","LGA","MIA","2382","20250511","1929","20250511","2242","MIA","JFK","1514","20250515","1524","20250515","1845","E","E","378.96","USD:AY 11.20|US 24.30|XF 9.00|ZP 10.40","0.0","0.0","54.9"
"DL","LGA","MIA","2300","20250511","1517","20250511","1833","MIA","JFK","1502","20250515","1110","20250515","1414","E","E","378.96","USD:AY 11.20|US 24.30|XF 9.00|ZP 10.40","0.0","0.0","54.9"
"AA","EWR","MIA","1801","20250511","1255","20250511","1603","MIA","JFK","642","20250515","1306","20250515","1606","E","S","387.96","USD:AY 11.20|US 24.93|XF 9.00|ZP 10.40","0.0","0.0","55.53"
"AA","JFK","MIA","1535","20250511","659","20250511","1005","MIA","JFK","1097","20250515","710","20250515","1009","E","G","398.96","USD:AY 11.20|US 25.70|XF 9.00|ZP 10.40","0.0","0.0","56.3"
"AA","JFK","MIA","2603","20250511","2030","20250511","2343","MIA","JFK","944","20250515","2106","20250516","8","E","G","398.96","USD:AY 11.20|US 25.70|XF 9.00|ZP 10.40","0.0","0.0","56.3"
"AA","LGA","MIA","1576","20250511","1817","20250511","2131","MIA","LGA","2324","20250515","1607","20250515","1859","E","V","407.97","USD:AY 11.20|US 26.33|XF 9.00|ZP 10.40","0.0","0.0","56.93"
"AA","LGA","MIA","1751","20250511","1659","20250511","2010","MIA","LGA","3022","20250515","1228","20250515","1534","E","V","442.97","USD:AY 11.20|US 28.77|XF 9.00|ZP 10.40","0.0","0.0","59.37"
"AA","LGA","BOS","4724","20250514","1700","20250514","1822","BOS","JFK","4580","20250519","1950","20250519","2119","E","O","268.97","USD:AY 11.20|US 16.63|XF 9.00|ZP 10.40","0.0","0.0","47.23"
"AA","JFK","BOS","4659","20250514","2130","20250514","2249","BOS","LGA","4645","20250519","800","20250519","927","E","O","348.96","USD:AY 11.20|US 22.21|XF 9.00|ZP 10.40","0.0","0.0","52.81"
"AM","JFK","MEX","405","20250628","835","20250628","1200","MEX","JFK","402","20250703","850","20250703","1600","B","I","1852.16","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|S1 11.10|UK 42.84|XD 65.41","0.0","0.0","193.16"
"AM","JFK","MEX","405","20250628","835","20250628","1200","MEX","JFK","404","20250703","1640","20250703","2357","E","V","508.16","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|S1 11.10|UK 42.84|XD 65.41","0.0","0.0","193.16"
"UA","EWR","SFO","2645","20250516","2015","20250516","2356","SFO","EWR","2033","20250531","600","20250531","1439","E","S","532.97","USD:AY 11.20|US 35.05|XF 9.00|ZP 10.40","0.0","0.0","65.65"
